類型,原料,型號大項,型號,結構,包覆,D10 (µm),D50 (µm),D90 (µm),振實 (g/ml),比表 (m²/g),半電容量 (mAh/g),半電首效 (%)
長循環,石油焦,6ED,6ED,2nd,×,7.2,14.4,24.5,1.09,1.47,346.6,94.4
長循環,石油焦,6EQ,6EQ,1st,×,4.6,11.1,20.5,1.25,1.92,352.4,94.5
長循環,石油焦,6EQ,6EQ-2,1st,×,4.4,10.7,20.8,1.22,1.78,352.8,94.6
長循環,石油焦,6EQ,6EQ-6,1st+2nd,×,6.7,12.8,23.2,1.12,1.42,352.1,95.3
長循環,石油焦,6KE,6KE,1st,×,4.3,10.4,20.9,1.24,1.55,331.2,94.8
快充型,MCMB,7H,7H,1st,×,7.6,11.8,17.5,1.42,1.14,350.2,95.2
快充型,MCMB,7P,7P,1st,×,3.4,9.8,18.4,1.31,1.99,345.7,93.9
快充型,MCMB,7P,7PA,1st,√,3.7,10.1,18.6,1.28,1.34,344.8,94.5
快充型,MCMB,7P,7PC,1st,√,3.42,6.54,11.72,1.17,1.52,345.4,94.7
快充型,MCMB,7P,7PE,1st,×,1.99,3.69,6.64,1.01,4.19,335.6,91.7
快充型,針狀焦,9H,9H,1st+2nd,√,6.1,13.6,24.9,1.05,1.48,353.7,94.8
快充型,針狀焦,9H,9HG,1st+2nd,√,5.5,13.4,28.8,1.09,1.62,354.1,94.7
快充型,針狀焦,9KE,9KE,1st+2nd,√,6.1,13.2,24.5,1.11,1.32,356.2,94.7
快充型,針狀焦,9KE,9KE-3,2nd,√,7.9,13.6,22.7,0.98,1.21,353.5,94.5
快充型,針狀焦,9PC,9PC,1st+2nd,√,6.5,13.1,23.2,1.13,1.36,351.2,95.6
快充型,針狀焦,9X,9X,2nd,√,6.6,14.4,25.9,0.98,1.33,351.6,94.8
高能量,針狀焦,9R,9R,1st+2nd,×,6.1,14.4,25.1,1.14,1.42,358.9,94.7
高能量,針狀焦,9R,9R-3,2nd,√,9.9,16.9,27.8,1.05,0.81,356.8,95.2
高能量,針狀焦,9R,9R-3B,2nd,√,11.1,17.9,28.9,0.96,0.91,356.5,94.5
高能量,針狀焦,ZH,ZH-95,1st+2nd,×,7.5,15.1,27.1,1.14,1.27,357.3,94.9
高能量,針狀焦,ZH,ZH-95C,1st+2nd,√,7.7,15.2,26.2,1.12,1.12,355.2,95.7
